form_slp1	form_iast	root_slp1	root_iast	support	sources
cAkzampam	cākṣampam	kzapi	kṣapi	1	krm-body
cAkzampitavyam	cākṣampitavyam	kzapi	kṣapi	1	krm-body
cAkzampitum	cākṣampitum	kzapi	kṣapi	1	krm-body
cAkzampitvA	cākṣampitvā	kzapi	kṣapi	2	krm-body
cAkzampizyamARaH	cākṣampiṣyamāṇaḥ	kzapi	kṣapi	1	krm-body
cAkzampyam	cākṣampyam	kzapi	kṣapi	1	krm-body
cAkzampyamARaH	cākṣampyamāṇaḥ	kzapi	kṣapi	2	krm-body
cAkzarA	cākṣarā	kzara	kṣara	1	krm-body
cAkzaraH	cākṣaraḥ	kzara	kṣara	2	krm-body
cAkzaraRIyam	cākṣaraṇīyam	kzara	kṣara	1	krm-body
cAkzaraRam	cākṣaraṇam	kzara	kṣara	1	krm-body
cAkzaram	cākṣaram	kzara	kṣara	1	krm-body
cAkzaritavyam	cākṣaritavyam	kzara	kṣara	1	krm-body
cAkzaritum	cākṣaritum	kzara	kṣara	1	krm-body
cAkzaritvA	cākṣaritvā	kzara	kṣara	2	krm-body
cAkzarizyamARaH	cākṣariṣyamāṇaḥ	kzara	kṣara	1	krm-body
cAkzaryam	cākṣaryam	kzara	kṣara	1	krm-body
cAkzaryamARaH	cākṣaryamāṇaḥ	kzara	kṣara	2	krm-body
cAkzatAH	cākṣatāḥ	laja	laja	1	krm-body
cAkzepe	cākṣepe	muwa	muṭa	2	krm-body
cAkzmAyA	cākṣmāyā	kzmAyI	kṣmāyī	1	krm-body
cAkzmAyaH	cākṣmāyaḥ	kzmAyI	kṣmāyī	2	krm-body
cAkzmAyaRIyam	cākṣmāyaṇīyam	kzmAyI	kṣmāyī	1	krm-body
cAkzmAyaRam	cākṣmāyaṇam	kzmAyI	kṣmāyī	1	krm-body
cAkzmAyam	cākṣmāyam	kzmAyI	kṣmāyī	1	krm-body
cAkzmAyitavyam	cākṣmāyitavyam	kzmAyI	kṣmāyī	1	krm-body
cAkzmAyitum	cākṣmāyitum	kzmAyI	kṣmāyī	1	krm-body
cAkzmAyitvA	cākṣmāyitvā	kzmAyI	kṣmāyī	2	krm-body
cAkzmAyizyamARaH	cākṣmāyiṣyamāṇaḥ	kzmAyI	kṣmāyī	1	krm-body
cAkzmAyyam	cākṣmāyyam	kzmAyI	kṣmāyī	1	krm-body
cAkzmAyyamARaH	cākṣmāyyamāṇaḥ	kzmAyI	kṣmāyī	2	krm-body
cAkzma	cākṣma	kzam	kṣam	1	pwg
cAlaDisaMnibadDAH	cāladhisaṃnibaddhāḥ	DAY	dhāñ	1	krm-body
cAlaH	cālaḥ	cala	cala	3	krm-body,skd
cAlagatyoH	cālagatyoḥ	Self	śelṛ	1	krm-body
cAlam	cālam	cala	cala	3	krm-body
cAlanI	cālanī	cala	cala	2	skd,vcp
cAlanam	cālanam	cal	cal	1	ap
cAlayan	cālayan	cala	cala	1	krm-body
cAlayet	cālayet	cala	cala	2	krm-body
cAlayitvA	cālayitvā	cala	cala	1	krm-body
cAle	cāle	vyaTa	vyatha	1	krm-body
cAlinI	cālinī	tanu	tanu	2	krm-body
cAlya	cālya	cal	cal	1	pwg
cAlyam	cālyam	cala	cala	1	krm-body
cAmaH	cāmaḥ	camu	camu	2	krm-body
cAmam	cāmam	camu	camu	1	krm-body
cAmanA	cāmanā	camu	camu	1	krm-body
cAmanIyam	cāmanīyam	camu	camu	1	krm-body
cAmanam	cāmanam	camu	camu	1	krm-body
cAmayitavyam	cāmayitavyam	camu	camu	1	krm-body
cAmayitum	cāmayitum	camu	camu	1	krm-body
cAmayitvA	cāmayitvā	camu	camu	2	krm-body
cAmfzwamfjAni	cāmṛṣṭamṛjāni	mfjU	mṛjū	1	krm-body
cAmitaH	cāmitaḥ	camu	camu	1	krm-body
cAmpilA	cāmpilā	capi	capi	2	skd,vcp
cAmy	cāmy	cam	cam	1	pwg
cAmyaM	cāmyaṃ	cama	cama	1	skd
cAmyam	cāmyam	camu	camu	1	krm-body
cAmyamAnaH	cāmyamānaḥ	camu	camu	1	krm-body
cAnOttarADarye	cānauttarādharye	ciY	ciñ	1	krm-body
cAnaH	cānaḥ	cana	cana	3	krm-body
cAnaSpra	cānaśpra	yatI	yatī	1	krm-body
cAnam	cānam	cana	cana	3	krm-body
cAnanA	cānanā	cana	cana	1	krm-body
cAnanIyam	cānanīyam	cana	cana	1	krm-body
cAnanam	cānanam	cana	cana	1	krm-body
cAnayamAnaH	cānayamānaḥ	cana	cana	1	krm-body
cAnayitavyam	cānayitavyam	cana	cana	1	krm-body
cAnayitum	cānayitum	cana	cana	1	krm-body
cAnayitvA	cānayitvā	cana	cana	2	krm-body
cAnayizyamARaH	cānayiṣyamāṇaḥ	cana	cana	1	krm-body
cAndrARAM	cāndrāṇāṃ	kuwumba	kuṭumba	1	krm-body
cAndraDAtupAWe	cāndradhātupāṭhe	muja	muja	1	krm-body
cAndramate	cāndramate	sAma	sāma	1	krm-body
cAndrapAWaSca	cāndrapāṭhaśca	vfkza	vṛkṣa	1	krm-body
cAndrapArAyaRamatenAyaM	cāndrapārāyaṇamatenāyaṃ	vana	vana	1	krm-body
cAndrasammataH	cāndrasammataḥ	mrakza	mrakṣa	1	krm-body
cAndre	cāndre	meN	meṅ	1	krm-body
cAnitaH	cānitaḥ	cana	cana	1	krm-body
cAnitye	cānitye	ruha	ruha	1	krm-body
cAntAmiza	cāntāmiṣa	ama	ama	1	krm-body
cAntarA	cāntarā	UrRuY	ūrṇuñ	1	krm-body
cAntvA	cāntvā	camu	camu	1	krm-body
cAnujYA	cānujñā	SUza	śūṣa	1	krm-body
cAnupasargasya	cānupasargasya	hu	hu	1	krm-body
cAnuvAdo	cānuvādo	kadi	kadi	1	krm-body
cAnyEH	cānyaiḥ	Rada	ṇada	1	krm-body
cAnyam	cānyam	cana	cana	2	krm-body
cAnyamAnaH	cānyamānaḥ	cana	cana	1	krm-body
cApa	cāpa	kap	kap	1	pwg
cApaWat	cāpaṭhat	jYapa	jñapa	1	krm-body
cApavAda	cāpavāda	riPa	ripha	1	krm-body
cApavAdavizayaM	cāpavādaviṣayaṃ	masjo	masjo	1	krm-body
cApayoDI	cāpayodhī	yuDa	yudha	2	krm-body
cApitaH	cāpitaḥ	capa	capa	1	krm-body
cApradAtAraM	cāpradātāraṃ	kzipa	kṣipa	1	krm-body
cApratyayasya	cāpratyayasya	cakziN	cakṣiṅ	1	krm-body
cApravAsinam	cāpravāsinam	kzipa	kṣipa	1	krm-body
cArAyaRa	cārāyaṇa	cara	cara	1	pwg
cArTaH	cārthaḥ	Rawa	ṇaṭa	1	krm-body
cAraH	cāraḥ	cara	cara	5	krm-body
cAraM	cāraṃ	cara	cara	1	skd
cAraRA	cāraṇā	cara	cara	1	krm-body
cAraRIyam	cāraṇīyam	cara	cara	1	krm-body
cAraRa	cāraṇa	car	car	1	pwg
cAraRam	cāraṇam	cara	cara	1	krm-body
cAraTa	cāratha	car	car	1	pwg
cAradUtikaTitaM	cāradūtikathitaṃ	cara	cara	1	krm-body
cAraka	cāraka	car	car	1	pwg
cAram	cāram	cara	cara	2	krm-body
cArayamARaH	cārayamāṇaḥ	cara	cara	1	krm-body
cArayet	cārayet	cara	cara	1	krm-body
cArayitavyam	cārayitavyam	cara	cara	1	krm-body
cArayitum	cārayitum	cara	cara	1	krm-body
cArayitvA	cārayitvā	cara	cara	2	krm-body
cArayizyamARaH	cārayiṣyamāṇaḥ	cara	cara	1	krm-body
cAriM	cāriṃ	ji	ji	1	krm-body
cArin	cārin	car	car	1	pwg
cAritArTyaM	cāritārthyaṃ	ruha	ruha	1	krm-body
cAritArTyam	cāritārthyam	Guzir	ghuṣir	1	krm-body
cAritaH	cāritaḥ	cara	cara	1	krm-body
cAritra	cāritra	car	car	1	pwg
cAritram	cāritram	cara	cara	2	krm-body
cAru	cāru	SaMsu	śaṃsu	1	krm-body
cAruH	cāruḥ	cara	cara	2	krm-body
cAruSilopaveSam	cāruśilopaveśam	viSa	viśa	1	krm-body
cArukuRqalAn	cārukuṇḍalān	maqi	maḍi	1	krm-body
cAruvikramAH	cāruvikramāḥ	lUY	lūñ	1	krm-body
cAruvikramaH	cāruvikramaḥ	vfN	vṛṅ	1	krm-body
cAryam	cāryam	cara	cara	1	krm-body
cAryamARaH	cāryamāṇaḥ	cara	cara	1	krm-body
cAsambudDO	cāsambuddhau	rAjf	rājṛ	1	krm-body
cAstam	cāstam	i	i	1	krm-body
cAtUrUpyaM	cātūrūpyaṃ	Brasja	bhrasja	1	krm-body
cAtUrUpyam	cātūrūpyam	zRiha	ṣṇiha	1	krm-body
cAtaka	cātaka	yAcane	yācane	1	vcp
cAtakaH	cātakaḥ	yAcane	yācane	1	ap
cAtignuban	cātignuban	kzi	kṣi	1	krm-body
cAtkampane	cātkampane	glepf	glepṛ	1	krm-body
cAtrAkarmakAH	cātrākarmakāḥ	yuDa	yudha	1	krm-body
cAtraM	cātraṃ	cAy	cāy	1	apte
cAtram	cātram	cAy	cāy	1	ap
cAviSezeRa	cāviśeṣeṇa	miha	miha	1	krm-body
cAvroqya	cāvroḍya	kruqa	kruḍa	1	krm-body
cAvroqyaSoBaM	cāvroḍyaśobhaṃ	cuqa	cuḍa	1	krm-body
cAwaH	cāṭaḥ	cawa	caṭa	2	krm-body
cAwam	cāṭam	cawa	caṭa	1	krm-body
cAwanA	cāṭanā	cawa	caṭa	1	krm-body
cAwanIyam	cāṭanīyam	cawa	caṭa	1	krm-body
cAwanam	cāṭanam	cawa	caṭa	1	krm-body
cAwayamAnaH	cāṭayamānaḥ	cawa	caṭa	1	krm-body
cAwayativat	cāṭayativat	baDa	badha	1	krm-body
cAwayitavyam	cāṭayitavyam	cawa	caṭa	1	krm-body
cAwayitum	cāṭayitum	cawa	caṭa	1	krm-body
cAwayitvA	cāṭayitvā	cawa	caṭa	2	krm-body
cAwayizyamARaH	cāṭayiṣyamāṇaḥ	cawa	caṭa	1	krm-body
cAwyam	cāṭyam	cawa	caṭa	1	krm-body
cAwyamAnaH	cāṭyamānaḥ	cawa	caṭa	1	krm-body
cAyAH	cāyāḥ	ciY	ciñ	1	krm-body
cAya	cāya	caya	caya	2	pw,pwg
cAyaka	cāyaka	ci	ci	2	pw,pwg
cAyamAna	cāyamāna	cAy	cāy	1	pw
cAyamAnaH	cāyamānaḥ	cAyf	cāyṛ	1	krm-body
cAyamarTaH	cāyamarthaḥ	yama	yama	1	krm-body
cAyanIya	cāyanīya	citra	citra	2	pw,pwg,vcp
cAyanIyam	cāyanīyam	cAyf	cāyṛ	2	krm-body
cAyanam	cāyanam	cAyf	cāyṛ	2	krm-body
cAyatereva	cāyatereva	cAyf	cāyṛ	1	krm-body
cAyitavyam	cāyitavyam	cAyf	cāyṛ	1	krm-body
cAyitum	cāyitum	cAyf	cāyṛ	1	krm-body
cAyitvA	cāyitvā	cAyf	cāyṛ	2	krm-body
cAyizyamARaH	cāyiṣyamāṇaḥ	cAyf	cāyṛ	1	krm-body
cAyopyaviropilopaka	cāyopyaviropilopaka	kupa	kupa	1	krm-body
cAyu	cāyu	ci	ci	1	pwg
cAyyamAnaH	cāyyamānaḥ	cAyf	cāyṛ	2	krm-body
cAzaRA	cāṣaṇā	caza	caṣa	1	krm-body
cAzaRIyam	cāṣaṇīyam	caza	caṣa	1	krm-body
cAzaRam	cāṣaṇam	caza	caṣa	1	krm-body
cAzam	cāṣam	caza	caṣa	2	krm-body
cAzayitavyam	cāṣayitavyam	caza	caṣa	1	krm-body
cAzayitum	cāṣayitum	caza	caṣa	1	krm-body
cAzayitvA	cāṣayitvā	caza	caṣa	2	krm-body
cAzayizyan	cāṣayiṣyan	caza	caṣa	1	krm-body
cAzitaH	cāṣitaḥ	caza	caṣa	1	krm-body
cAzyam	cāṣyam	caza	caṣa	2	krm-body
cAzyamARaH	cāṣyamāṇaḥ	caza	caṣa	1	krm-body
cCAdane	cchādane	stFY	stṝñ	1	krm-body
cCIlikaH	cchīlikaḥ	SriY	śriñ	1	krm-body
cCInadyornum	cchīnadyornum	kF	kṝ	1	krm-body
cCadmatApasaH	cchadmatāpasaḥ	yaja	yaja	1	krm-body
cCakunizvAleKane	cchakuniṣvālekhane	liKa	likha	1	krm-body
cCapi	cchapi	rama	rama	1	krm-body
cCedanaBartsanayoH	cchedanabhartsanayoḥ	Kawwa	khaṭṭa	1	krm-body
cCizizyamARaH	cchiṣiṣyamāṇaḥ	vicCa	viccha	1	krm-body
cCozaM	cchoṣaṃ	tuza	tuṣa	1	krm-body
cCravoH	cchravoḥ	Kava	khava	1	krm-body
cCreRADIyAna	cchreṇādhīyāna	iN	iṅ	1	krm-body
cEla	caila	cela	cela	1	pwg
cElika	cailika	cela	cela	1	pwg
cEtad	caitad	yama	yama	1	krm-body
cEtrAyaRa	caitrāyaṇa	citra	citra	2	pw,pwg
cEtra	caitra	citra	citra	1	pwg
cEtya	caitya	cit	cit	1	pwg
cIBA	cībhā	cIBf	cībhṛ	1	krm-body
cIBaH	cībhaḥ	cIBf	cībhṛ	4	krm-body
cIBam	cībham	cIBf	cībhṛ	2	krm-body
cIBamAnaH	cībhamānaḥ	cIBf	cībhṛ	1	krm-body
cIBanA	cībhanā	cIBf	cībhṛ	1	krm-body
cIBanIyam	cībhanīyam	cIBf	cībhṛ	2	krm-body
cIBanaH	cībhanaḥ	cIBf	cībhṛ	1	krm-body
cIBanam	cībhanam	cIBf	cībhṛ	2	krm-body
cIBayamAnaH	cībhayamānaḥ	cIBf	cībhṛ	1	krm-body
cIBayitavyam	cībhayitavyam	cIBf	cībhṛ	1	krm-body
cIBayitum	cībhayitum	cIBf	cībhṛ	1	krm-body
cIBayitvA	cībhayitvā	cIBf	cībhṛ	2	krm-body
cIBayizyamARaH	cībhayiṣyamāṇaḥ	cIBf	cībhṛ	1	krm-body
cIBitaH	cībhitaḥ	cIBf	cībhṛ	1	krm-body
cIBitavyam	cībhitavyam	cIBf	cībhṛ	1	krm-body
cIBitum	cībhitum	cIBf	cībhṛ	1	krm-body
cIBitvA	cībhitvā	cIBf	cībhṛ	2	krm-body
cIBizyamARaH	cībhiṣyamāṇaḥ	cIBf	cībhṛ	1	krm-body
cIByam	cībhyam	cIBf	cībhṛ	2	krm-body
cIByamAnaH	cībhyamānaḥ	cIBf	cībhṛ	2	krm-body
cIcIkUcIti	cīcīkūcīti	vASf	vāśṛ	1	krm-body
cIk	cīk	mfz	mṛṣ	1	mw
cIkA	cīkā	cIka	cīka	1	krm-body
cIkO	cīkau	cIka	cīka	1	krm-body
cIkaH	cīkaḥ	cIka	cīka	5	krm-body
cIkam	cīkam	cIka	cīka	2	krm-body
cIkanA	cīkanā	cIka	cīka	1	krm-body
cIkanIyam	cīkanīyam	cIka	cīka	2	krm-body
cIkanam	cīkanam	cIka	cīka	2	krm-body
cIkayamAnaH	cīkayamānaḥ	cIka	cīka	1	krm-body
cIkayitavyam	cīkayitavyam	cIka	cīka	1	krm-body
cIkayitum	cīkayitum	cIka	cīka	1	krm-body
cIkayitvA	cīkayitvā	cIka	cīka	2	krm-body
cIkayizyamARaH	cīkayiṣyamāṇaḥ	cIka	cīka	1	krm-body
cIkitavyam	cīkitavyam	cIka	cīka	1	krm-body
cIkitum	cīkitum	cIka	cīka	1	krm-body
cIkitvA	cīkitvā	cIka	cīka	2	krm-body
cIkyam	cīkyam	cIka	cīka	2	krm-body
cIkyamAnaH	cīkyamānaḥ	cIka	cīka	2	krm-body
cIrRa	cīrṇa	car	car	1	pw
cIrtvA	cīrtvā	car	car	1	pw
cIti	cīti	ci	ci	1	pwg
cIvanam	cīvanam	cIva	cīva	1	krm-body
cIyamAnaH	cīyamānaḥ	ciY	ciñ	2	krm-body
cIyate	cīyate	ciY	ciñ	4	krm-body
cOpAyana	caupāyana	cupa	cupa	2	pw,pwg
cOpayata	caupayata	cup	cup	1	pwg
cOrAdikAdantakuRayativat	caurādikādantakuṇayativat	guRa	guṇa	1	krm-body
cOrAdikaCardayativat	caurādikachardayativat	vfjI	vṛjī	1	krm-body
cOrAdikaDAtuvadboDyAni	caurādikadhātuvadbodhyāni	gaja	gaja	1	krm-body
cOrAdikaDAtuvajjYeyAni	caurādikadhātuvajjñeyāni	kURa	kūṇa	1	krm-body
cOrAdikaGAtornandisammataH	caurādikaghātornandisammataḥ	jri	jri	1	krm-body
cOrAdikaH	caurādikaḥ	luwi	luṭi	1	krm-body
cOrAdikaSokArTakakaRWa	caurādikaśokārthakakaṇṭha	vawi	vaṭi	1	krm-body
cOrAdikacCadayativat	caurādikacchadayativat	SraTa	śratha	1	krm-body
cOrAdikacIkayati	caurādikacīkayati	mAna	māna	1	krm-body
cOrAdikacIkayativat	caurādikacīkayativat	SIka	śīka	1	krm-body
cOrAdikacapiDAtuvat	caurādikacapidhātuvat	tasi	tasi	1	krm-body
cOrAdikacarzativat	caurādikacarṣativat	mfza	mṛṣa	1	krm-body
cOrAdikacawaDAtuvat	caurādikacaṭadhātuvat	jala	jala	1	krm-body
cOrAdikacetayativat	caurādikacetayativat	bila	bila	1	krm-body
cOrAdikacfpaDAtuvat	caurādikacṛpadhātuvat	Dfza	dhṛṣa	1	krm-body
cOrAdikaciDAtuvat	caurādikacidhātuvat	ji	ji	1	krm-body
cOrAdikacinta	caurādikacinta	piqi	piḍi	1	krm-body
cOrAdikacitiDAtuvat	caurādikacitidhātuvat	tuji	tuji	1	krm-body
cOrAdikacodayativat	caurādikacodayativat	puTa	putha	1	krm-body
cOrAdikacyosayativat	caurādikacyosayativat	muca	muca	1	krm-body
cOrAdikaduHKayativat	caurādikaduḥkhayativat	suKa	sukha	1	krm-body
cOrAdikagUrayativat	caurādikagūrayativat	rUpa	rūpa	1	krm-body
cOrAdikagomayati	caurādikagomayati	stoma	stoma	1	krm-body
cOrAdikagrAmayativat	caurādikagrāmayativat	spaSa	spaśa	1	krm-body
cOrAdikajozayativat	caurādikajoṣayativat	yuja	yuja	1	krm-body
cOrAdikakIwaDAtuvat	caurādikakīṭadhātuvat	tIra	tīra	1	krm-body
cOrAdikakUlayativat	caurādikakūlayativat	stUpa	stūpa	1	krm-body
cOrAdikakUwayati	caurādikakūṭayati	pUla	pūla	1	krm-body
cOrAdikakUwayativajjYeyAni	caurādikakūṭayativajjñeyāni	kUwa	kūṭa	1	krm-body
cOrAdikakaRaDAtuvat	caurādikakaṇadhātuvat	caRa	caṇa	1	krm-body
cOrAdikakaWiGAtuvat	caurādikakaṭhighātuvat	Gawi	ghaṭi	1	krm-body
cOrAdikakalpayativat	caurādikakalpayativat	pfTa	pṛtha	1	krm-body
cOrAdikakawayativat	caurādikakaṭayativat	laqi	laḍi	1	krm-body
cOrAdikakopayativat	caurādikakopayativat	zwupa	ṣṭupa	1	krm-body
cOrAdikakuMSa	caurādikakuṃśa	mahi	mahi	1	krm-body
cOrAdikakuRWayati	caurādikakuṇṭhayati	vicCa	viccha	1	krm-body
cOrAdikakuhayativat	caurādikakuhayativat	sPuwa	sphuṭa	1	krm-body
cOrAdikakuwaDAtuvat	caurādikakuṭadhātuvat	cuwa	cuṭa	1	krm-body
cOrAdikakzepArTakakAlayativat	caurādikakṣepārthakakālayativat	dula	dula	1	krm-body
cOrAdikasya	caurādikasya	jF	jṝ	1	krm-body
cOrAdikatolayativat	caurādikatolayativat	puza	puṣa	1	krm-body
cOrAdikatvamapyaNgIkarotIti	caurādikatvamapyaṅgīkarotīti	raka	raka	1	krm-body
cOrAdikena	caurādikena	spaSa	spaśa	1	krm-body
cOro	cauro	muza	muṣa	1	krm-body
cOryeRa	cauryeṇa	ciY	ciñ	1	krm-body
cUqAdiBya	cūḍādibhya	Asa	āsa	1	krm-body
cUrRIBU	cūrṇībhū	BU	bhū	1	mw
cUrRIkf	cūrṇīkṛ	kf	kṛ	1	mw
cUrRRa	cūrṇṇa	cUrRa	cūrṇa	1	vcp
cUrRa	cūrṇa	carv	carv	1	pwg
cUrRaH	cūrṇaḥ	cUrRa	cūrṇa	1	skd
cUrRaM	cūrṇaṃ	cUrRa	cūrṇa	1	skd
cUrRaSas	cūrṇaśas	cUrRa	cūrṇa	1	pwg
cUrRaka	cūrṇaka	cUrRa	cūrṇa	1	pwg
cUrRanArTam	cūrṇanārtham	pakza	pakṣa	1	krm-body
cUrRatA	cūrṇatā	cUrRa	cūrṇa	1	pwg
cUrRay	cūrṇay	cUrRa	cūrṇa	1	pwg
cUrRikA	cūrṇikā	cUrRa	cūrṇa	1	pwg
cUraRam	cūraṇam	cUrI	cūrī	1	krm-body
cUrti	cūrti	car	car	2	pw,pwg
cUrtiH	cūrtiḥ	cara	cara	1	krm-body
cUrtti	cūrtti	cara	cara	1	vcp
cUtaH	cūtaḥ	cUza	cūṣa	1	skd
cUzAyitvA	cūṣāyitvā	cUza	cūṣa	1	krm-body
cUzaH	cūṣaḥ	cUza	cūṣa	4	krm-body
cUzaRA	cūṣaṇā	cUza	cūṣa	1	krm-body
cUzaRIyam	cūṣaṇīyam	cUza	cūṣa	2	krm-body
cUzaRam	cūṣaṇam	cUza	cūṣa	2	krm-body
cUzam	cūṣam	cUza	cūṣa	2	krm-body
cUzayamARaH	cūṣayamāṇaḥ	cUza	cūṣa	1	krm-body
cUzayitavyam	cūṣayitavyam	cUza	cūṣa	1	krm-body
cUzayitum	cūṣayitum	cUza	cūṣa	1	krm-body
cUzayitvA	cūṣayitvā	cUza	cūṣa	1	krm-body
cUzayizyamARaH	cūṣayiṣyamāṇaḥ	cUza	cūṣa	1	krm-body
cUzitaH	cūṣitaḥ	cUza	cūṣa	1	krm-body
cUzitavyam	cūṣitavyam	cUza	cūṣa	1	krm-body
cUzitum	cūṣitum	cUza	cūṣa	1	krm-body
cUzitvA	cūṣitvā	cUza	cūṣa	2	krm-body
cUzyam	cūṣyam	cUza	cūṣa	2	krm-body
cUzyamARaH	cūṣyamāṇaḥ	cUza	cūṣa	2	krm-body
ca	ca	ca	ca	2	pw,pwg
caNKanaH	caṅkhanaḥ	Kanu	khanu	1	krm-body
caNKanam	caṅkhanam	Kanu	khanu	1	krm-body
caNKanitvA	caṅkhanitvā	Kanu	khanu	1	krm-body
caNkaRA	caṅkaṇā	kaRa	kaṇa	1	krm-body
caNkaRaH	caṅkaṇaḥ	kaRa	kaṇa	2	krm-body
caNkaRam	caṅkaṇam	kaRa	kaṇa	1	krm-body
caNkaRanIyam	caṅkaṇanīyam	kaRa	kaṇa	1	krm-body
caNkaRanam	caṅkaṇanam	kaRa	kaṇa	1	krm-body
caNkaRitavyam	caṅkaṇitavyam	kaRa	kaṇa	1	krm-body
caNkaRitum	caṅkaṇitum	kaRa	kaṇa	1	krm-body
caNkaRitvA	caṅkaṇitvā	kaRa	kaṇa	2	krm-body
caNkaRizyamARaH	caṅkaṇiṣyamāṇaḥ	kaRa	kaṇa	1	krm-body
caNkaRyam	caṅkaṇyam	kaRa	kaṇa	1	krm-body
caNkaRyamAnaH	caṅkaṇyamānaḥ	kaRa	kaṇa	2	krm-body
caNklamA	caṅklamā	klamu	klamu	1	krm-body
caNklamaH	caṅklamaḥ	klamu	klamu	2	krm-body
caNklamam	caṅklamam	klamu	klamu	1	krm-body
caNklamanIyam	caṅklamanīyam	klamu	klamu	1	krm-body
caNklamanam	caṅklamanam	klamu	klamu	1	krm-body
caNklamitavyam	caṅklamitavyam	klamu	klamu	1	krm-body
caNklamitum	caṅklamitum	klamu	klamu	1	krm-body
caNklamitvA	caṅklamitvā	klamu	klamu	2	krm-body
caNklamizyamARaH	caṅklamiṣyamāṇaḥ	klamu	klamu	1	krm-body
caNklamyam	caṅklamyam	klamu	klamu	1	krm-body
caNklamyamAnaH	caṅklamyamānaḥ	klamu	klamu	2	krm-body
caNkramA	caṅkramā	kramu	kramu	1	krm-body
caNkramAvAn	caṅkramāvān	kramu	kramu	1	krm-body
caNkramaH	caṅkramaḥ	kramu	kramu	2	krm-body
caNkramaRIyam	caṅkramaṇīyam	kramu	kramu	1	krm-body
caNkramaRa	caṅkramaṇa	kram	kram	1	pwg
caNkramaRaH	caṅkramaṇaḥ	kramu	kramu	2	krm-body
caNkramaRaM	caṅkramaṇaṃ	caNkrama	caṅkrama	1	skd
caNkramaRam	caṅkramaṇam	kramu	kramu	1	krm-body
caNkramam	caṅkramam	kramu	kramu	1	krm-body
caNkrami	caṅkrami	kramu	kramu	1	krm-body
caNkramitum	caṅkramitum	kramu	kramu	1	krm-body
caNkramitvA	caṅkramitvā	kramu	kramu	2	krm-body
caNkramizyamARaH	caṅkramiṣyamāṇaḥ	kramu	kramu	1	krm-body
caNkramyam	caṅkramyam	kramu	kramu	1	krm-body
caNkramyamARaH	caṅkramyamāṇaḥ	kramu	kramu	2	krm-body
caNkvaRA	caṅkvaṇā	kvaRa	kvaṇa	1	krm-body
caNkvaRaH	caṅkvaṇaḥ	kvaRa	kvaṇa	2	krm-body
caNkvaRam	caṅkvaṇam	kvaRa	kvaṇa	1	krm-body
caNkvaRanIyam	caṅkvaṇanīyam	kvaRa	kvaṇa	1	krm-body
caNkvaRanam	caṅkvaṇanam	kvaRa	kvaṇa	1	krm-body
caNkvaRitavyam	caṅkvaṇitavyam	kvaRa	kvaṇa	1	krm-body
caNkvaRitum	caṅkvaṇitum	kvaRa	kvaṇa	1	krm-body
caNkvaRitvA	caṅkvaṇitvā	kvaRa	kvaṇa	2	krm-body
caNkvaRizyamARaH	caṅkvaṇiṣyamāṇaḥ	kvaRa	kvaṇa	1	krm-body
caNkvaRyam	caṅkvaṇyam	kvaRa	kvaṇa	1	krm-body
caNkvaRyamAnaH	caṅkvaṇyamānaḥ	kvaRa	kvaṇa	2	krm-body
caNkzaRA	caṅkṣaṇā	kzaRu	kṣaṇu	1	krm-body
caNkzaRaH	caṅkṣaṇaḥ	kzaRu	kṣaṇu	2	krm-body
caNkzaRam	caṅkṣaṇam	kzaRu	kṣaṇu	1	krm-body
caNkzaRanIyam	caṅkṣaṇanīyam	kzaRu	kṣaṇu	1	krm-body
caNkzaRanam	caṅkṣaṇanam	kzaRu	kṣaṇu	1	krm-body
caNkzaRitavyam	caṅkṣaṇitavyam	kzaRu	kṣaṇu	1	krm-body
caNkzaRitum	caṅkṣaṇitum	kzaRu	kṣaṇu	1	krm-body
caNkzaRitvA	caṅkṣaṇitvā	kzaRu	kṣaṇu	2	krm-body
caNkzaRizyamARaH	caṅkṣaṇiṣyamāṇaḥ	kzaRu	kṣaṇu	1	krm-body
caNkzaRyam	caṅkṣaṇyam	kzaRu	kṣaṇu	1	krm-body
caNkzaRyamAnaH	caṅkṣaṇyamānaḥ	kzaRu	kṣaṇu	2	krm-body
caNkzamA	caṅkṣamā	kzamU	kṣamū	1	krm-body
caNkzamaH	caṅkṣamaḥ	kzamU	kṣamū	2	krm-body
caNkzamaRIyam	caṅkṣamaṇīyam	kzamU	kṣamū	1	krm-body
caNkzamaRam	caṅkṣamaṇam	kzamU	kṣamū	1	krm-body
caNkzamam	caṅkṣamam	kzamU	kṣamū	1	krm-body
caNkzamitavyam	caṅkṣamitavyam	kzamU	kṣamū	1	krm-body
caNkzamitum	caṅkṣamitum	kzamU	kṣamū	1	krm-body
caNkzamitvA	caṅkṣamitvā	kzamU	kṣamū	2	krm-body
caNkzamya	caṅkṣamya	kzamUz	kṣamūṣ	1	krm-body
caNkzamyam	caṅkṣamyam	kzamU	kṣamū	1	krm-body
caNkzamyamARaH	caṅkṣamyamāṇaḥ	kzamU	kṣamū	2	krm-body
caRaDAturastIti	caṇadhāturastīti	caRa	caṇa	1	krm-body
caRaka	caṇaka	caRa	caṇa	1	pwg
caRqA	caṇḍā	caqi	caḍi	1	krm-body
caRqAlaH	caṇḍālaḥ	caqi	caḍi	1	krm-body
caRqI	caṇḍī	caqi	caḍi	1	krm-body
