mw_L	e	k1_slp1	root_iast	verb_type	classes	whitney_anchor	westergaard
64241	1	gal	gal	root	1P		1
64303	1	galB	galbh	root	1Ā	galB,35	1
64317	1	galh	galh	root	0		
64327	3	gavez	gaveṣ	root	1Ā,10		
64460	1	gah	gah	root	10P		
64493	1	gA	gā	genuineroot	3P,3Ā,2P,2Ā	gA1,35	1
64759	1	gAD	gādh	root	1Ā		1
65006	1	gAloqaya	gāloḍaya	root	0P,0Ā		
65024	1	gAh	gāh	genuineroot	1Ā,1P	gAh,36	
65339	1	gu	gu	root	1Ā		
65341	1	gu	gu	genuineroot	1Ā,1P	gu,36	1
65342	1	gu	gu	root	6P		1
65390	1	guj	guj	root	1,6P		1
65392	1	guYj	guñj	genuineroot	1P	guYj,36	
65422	1	guq	guḍ	root	6P		1
65822	1	guRW	guṇṭh	root	10P	guRW,37	1
65827	1	guRq	guṇḍ	root	10		1
65859	1	gud	gud	root	1Ā		1
65883	1	guD	gudh	genuineroot	4P,9P,1Ā		1
65888	1	gundr	gundr	root	0		
65898	1	gup	gup	root	4P,4Ā		1
65899	1	gup	gup	root	0Ā,0P	gup,37	
65959	1	guP	guph	root	6	guP,37	1
65966	1	gumP	gumph	genuineroot	6P	guP,37	
65978	1	gur	gur	root	6,4	gur,37	1
66184	1	gurd	gurd	root	1,10		1
66185	1	gurv	gurv	root	1P		1
66258	1	guh	guh	genuineroot	1P,1Ā	guh,38	
66386	1	gU	gū	root	0		
66396	1	gUr	gūr	root	0		
66402	1	gUrd	gūrd	root	1P	gUrd,38	
66407	1	gUrD	gūrdh	genuineroot	10P	gUrD,38	
66412	1	gf	gṛ	root	1P		1
66413	1	gfj	gṛj	root	1		
66434	1	gfD	gṛdh	genuineroot	4P,4Ā	gfD,39	1
66808	1	gF	gṝ	genuineroot	9P,9Ā	gf1,38	
66809	1	gF	gṝ	genuineroot	6P,6Ā	gf2,38	
66810	1	gF	gṝ	root	10Ā		1
66817	1	gep	gep	root	1Ā		1
66820	1	gev	gev	root	1Ā		1
66821	1	gez	geṣ	root	1Ā		1
66852	1	gE	gai	genuineroot	1P,1Ā,2,3P	gA2,35	1
67683	3	gozwa	goṣṭa	root			
68425	1	gDa	gdha	root	0Ā		
68437	1	graT	grath	genuineroot	9P,1P,1Ā	graT,39	
68541	1	graT	grath	root	1Ā		1
68545	1	graB	grabh	root			
68546	1	gras	gras	genuineroot	1P,1Ā	gras,40	1
68591	1	grah	grah	genuineroot	9P,9Ā	graB,40	
69112	1	gruc	gruc	root	1P		1
69136	2	glap	glap	root	0		
69143	1	glas	glas	root	1Ā		1
69145	1	glah	glah	genuineroot	1Ā,1P	glah,41	1
69159	1	gluc	gluc	root	1P		
69163	1	gluYc	gluñc	root	1P		1
69165	1	glep	glep	root	1Ā		
69168	1	glev	glev	root	1Ā		
69169	1	glez	gleṣ	root	1Ā		
69170	1	glE	glai	genuineroot	1P,1Ā,2P,2Ā	glA,41	
69215	1	GaMz	ghaṃṣ	root	1Ā		1
69216	1	GaMs	ghaṃs	root	0		
69217	1	GagG	ghaggh	root	1P		
69218	1	GaG	ghagh	root	1P		
69219	1	Gaw	ghaṭ	genuineroot	1Ā,1P	Gaw,41	1
69346	1	Gaww	ghaṭṭ	genuineroot	1Ā,10P	Gaww,41	
69362	1	GaR	ghaṇ	root	8P,8Ā		
