L_id	headword	headword_slp1	root	root_slp1	root_via	root_class	root_canonical	prefixes	affix	affix_slp1	group	anubandha	anubandha_steps	affix_source	deriv_type	parse	context
31403	uttij	uttij	tij	tij	parse	1P	Y	ud							prefix+root	ud+tij	ut-√ tij ¦ (ud-√ tij), Caus. P. -tejayati, to excite, stimulate, incite, instigate, animate, encourage, Kathās.; Mṛcch.
31418	uttu	uttu	tu	tu	parse	2	Y	ud							prefix+root	ud+tu	ut-√ tu ¦ (ud-√ tu) P. u/t-tavIti (RV. x, 59, 1), to effect, bring about; to prosper, increase [Sāy.]
31424	uttud	uttud	tud	tud	parse	6P	Y	ud							prefix+root	ud+tud	ut-√ tud ¦ (ud-√ tud) P. -tudati, to push up, tear up; to push open, AV. iii, 25, 1; AitĀr.; to stir up, urge on.
31426	uttul	uttul	tul	tul	parse	10Ā	Y	ud							prefix+root	ud+tul	ut-√ tul ¦ (ud-√ tul) P. -tolayati, to take up (a sword), Tantras.; to erect, set up Comm. on Prab.; to raise up (by mea
31430	uttṛd	uttfd	tṛd	tfd	parse	7Ā	Y	ud							prefix+root	ud+tfd	ut-√ tfd ¦ (ud-√ tfd) P. -tfRatti, to split or cut through, TBr.; Kāṭh. : Desid. (p. -titftsat) to wish to split or cut
31431	uttṝ	uttF	tṝ	tF	parse	1P,1Ā,5,3,6P,6Ā	Y	ud							prefix+root	ud+tF	ut-tF ¦ (ud-√ tF) P. -tarati and -tirati (Ved.) to pass out of (especially jalAt, water, with abl.) to disembark; to com
31465	uttyaj	uttyaj	tyaj	tyaj	parse	1P,1Ā	Y	ud							prefix+root	ud+tyaj	ut-√ tyaj ¦ (ud-√ tyaj).
31472	uttras	uttras	tras	tras	parse	10P	Y	ud							prefix+root	ud+tras	ut-√ tras ¦ (ud-√ tras), Caus. P. -trAsayati, to frighten, alarm, Hariv.
31477	uttruṭ	uttruw	truṭ	truw	parse	6,4Ā	Y	ud							prefix+root	ud+truw	ut-truw ¦ (ud-√ truw).
31479	utthā	utTA	sthā	sTA	parse	1P,1Ā	Y	ud							prefix+root	ud+sTA	ut-TA ¦ (ud-√ sTA, Pāṇ. viii, 4, 61; cf. ut-tamB, col. 1), P. Ā. (but not Ā. in the sense of ‘rising, standing up’, Pāṇ.
31568	utpac	utpac	pac	pac	parse	1P,1Ā	Y	ud							prefix+root	ud+pac	ut-√ pac ¦ (ud-√ pac), Caus. P. -pAcayati, to boil thoroughly, heat.
31572	utpaṭ	utpaw	paṭ	paw	parse	1P,10	Y	ud							prefix+root	ud+paw	ut-paw ¦ (ud-√ paw), Caus. -pAwayati, to tear up or out, pluck, pull out, break out, ŚāṅkhŚr.; Gaut.; Suśr.; Mn.; Pañcat
31590	utpat	utpat	pat	pat	parse	4Ā	Y	ud							prefix+root	ud+pat	ut-√ pat ¦ (ud-√ pat) P. -patati (p. -pa/tat, RV. ii, 43, 3; AV. xix, 65, 1; aor. -apaptat, RV. i, 191, 9; p. fut. -pati
31624	utpad	utpad	pad	pad	parse	1P	Y	ud							prefix+root	ud+pad	ut-√ pad ¦ (ud-√ pad) Ā. -padyate, to arise, rise, originate, be born or produced; to come forth, become visible, appear
31724	utpaś	utpaS	paś	paS	parse	0P,0Ā	Y	ud							prefix+root	ud+paS	ut-√ paS ¦ (ud-√ paS) P. -paSyati (p. -pa/Syat. Pass. ud-dfSyate) to see or descry overhead, RV. i, 50, 10; AitBr. ii, 3
31726	utpā	utpA	pā	pA	parse	1P,1Ā,2Ā,2P	Y	ud							prefix+root	ud+pA	1. ut-√ pA ¦ (ud-√ pA) P. (3. pl. -pibanti) to drink out, sip out; to drink up, devour, ŚBr. v, 2, 4, 7 and 11.
31728	utpā	utpA	pā	pA	parse	1P,1Ā,2Ā,2P	Y	ud							prefix+root	ud+pA	2. ut-√ pA ¦ (ud-√ 5. pA) Ā. -pi/pIte (p. -pi/pAna) to rise against, rebel; to show enmity, AV. v, 20, 7; xiii, 1, 31; T
31728	utpipāna	utpipAna	pā	pA	fr-root	1P,1Ā,2Ā,2P	Y								root-attribution		ut-pipAna ¦ fr. 2. ut-√ pA; accord. to others, ‘with swelling sound’
31748	utpiṣ	utpiz	piṣ	piz	parse	7P,7Ā	Y	ud							prefix+root	ud+piz	ut-√ piz ¦ (ud-√ piz).
31751	utpīḍ	utpIq	pīḍ	pIq	parse	10P	Y	ud							prefix+root	ud+pIq	ut-√ pIq ¦ (ud-√ pIq) P. -pIqayati, to press upwards or against, squeeze, Kum.; to press out of Suśr.
31763	utpuñjaya	utpuYjaya						ud							compound	ud+puYjaya	ut-puYjaya ¦ Nom. (fr. puYja) P. ut-puYjayati, to lay up, heap Comm. on KātyŚr.; Kād.
31768	utpū	utpU	pū	pU	parse	9P,9Ā,1Ā,1P	Y	ud							prefix+root	ud+pU	ut-√ pU ¦ (ud-√ pU) P. Ā. -punAti, -punIte, to cleanse, purify, AV. xii, 1, 30; VS. i, 12; TBr.; ŚBr.; KātyŚr.; Gobh. &c
31777	utpṛ	utpf	pṛ	pf	parse	3P,9P	Y	ud							prefix+root	ud+pf	ut-√ pf ¦ (ud- √ 1. pf), Caus. -pArayati (aor. 1. sg. -apIparam, AV.) to transport over, conduct out of (the ocean), RV.
31779	utpṝ	utpF	pṝ	pF	parse	9P,6P,3P,3Ā	Y	ud							prefix+root	ud+pF	ut-pF ¦ (ud-√ pF), Caus. (pf. Pot. 2. sg. u/t-pupUryAs, RV. v, 6, 9) to fill up.
31781	utpyai	utpyE	pyai	pyE	parse	1Ā	Y	ud							prefix+root	ud+pyE	ut-pyE ¦ (ud-√ pyE).
31791	utpru	utpru	pru	pru	parse	1Ā	Y	ud							prefix+root	ud+pru	ut-√ pru ¦ (ud-√ pru connected with√ plu) Ā. (aor. 2. sg. -prozWAs, ĀśvŚr. iii) to spring, leap.
31793	utprekṣ	utprekz	īkṣ	Ikz	parse	1Ā	Y	ud pra							prefix+root	ud+pra+Ikz	ut-prekz ¦ (ud-pra-√ Ikz) Ā. -prekzate, to look up to (with attention, as a pupil to his teacher who occupies an elevate
31812	utplu	utplu	plu	plu	parse	1Ā,1P	Y	ud							prefix+root	ud+plu	ut-√ plu ¦ (ud-√ plu) Ā. -plavate (rarely P. -ti), to swim upwards, emerge, Suśr.; ṢaḍvBr.; Kād.; to draw near, approach
31820	utphal	utPal	phal	Pal	parse	1P,1Ā	Y	ud							prefix+root	ud+Pal	ut-√ Pal ¦ (ud-√ Pal) P. -Palati, to spring open, burst, expand; to jump out, Bālar. : Caus. -PAlayati, to open, open wi
31847	utsad	utsad	sad	sad	parse	1,6P	Y	ud							prefix+root	ud+sad	ut-√ sad ¦ (ud-√ sad) P. Ā. -sIdati, -te (Ved. 3. pl. u/t-sadan) to sit upwards; to raise one's self or rise up to (acc.
31878	utsarj	utsarj	sarj	sarj	parse	1P	Y	ud							prefix+root	ud+sarj	ut-√ sarj ¦ (ud-√ sarj) P. -sarjati, to rattle, creak, TS.; ŚBr.
31882	utsah	utsah	sah	sah	parse	1Ā,10	Y	ud							prefix+root	ud+sah	ut-√ sah ¦ (ud-√ sah) Ā. -sahate (inf. -sa/ham, TBr. i, 1, 6, 1) to endure, bear, TBr.; AitBr. iii, 44, 5; ŚBr. i, 3, 3,
31904	utsi	utsi	si	si	parse	5,9P,9Ā	Y	ud							prefix+root	ud+si	ut-√ si ¦ (ud-√ si) P. -sinA/ti, to fetter, chain, RV. i, 125, 2.
31906	utsic	utsic	sic	sic	parse	6P,6Ā	Y	ud							prefix+root	ud+sic	ut-√ sic ¦ (ud-√ sic) P. Ā. -siYcati, -te, to pour upon, make full; to cause to flow over, RV. vii, 16, 11; x, 105, 10;
31922	utsidh	utsiD	sidh	siD	parse	1P	Y	ud							prefix+root	ud+siD	ut-√ siD ¦ (ud- √ 2. siD) P. -seDati, to drive off or aside, TāṇḍyaBr.; to drive or push upwards.
31931	utsiv	utsiv	siv	siv	parse	4P	Y	ud							prefix+root	ud+siv	ut-siv ¦ (ud-√ siv).
31949	utsū	utsU	sū	sU	parse	6P,6Ā	Y	ud							prefix+root	ud+sU	ut-√ sU ¦ (ud- √ 1. sU) P. -suvati, to cause to go upwards, Kāṭh. xix, 5;  (-sunoti), to stir up, agitate, BhP. iii, 20,
31967	utsṛ	utsf	sṛ	sf	parse	1,3P,3Ā,10P,10Ā	Y	ud							prefix+root	ud+sf	ut-√ sf ¦ (ud-√ sf) P. -sarati, to hasten away, escape, AV. iii, 9, 5; MBh. : Caus. -sArayati, to expel, turn out, drive
31979	utsṛj	utsfj	sṛj	sfj	parse	6P,6Ā	Y	ud							prefix+root	ud+sfj	ut-√ sfj ¦ (ud-√ sfj) P. Ā. -sfjati, -te, to let loose, let off or go ; to set free; to open, RV.; AitBr.; ĀśvGṛ. & ĀśvŚ
32022	utsṛp	utsfp	sṛp	sfp	parse	1P	Y	ud							prefix+root	ud+sfp	ut-√ sfp ¦ (ud-√ sfp) P. -sarpati, to creep out or upwards; to rise up, glide or soar upwards, AV. vi, 134, 2; ŚBr.; Kāt
32039	utsnā	utsnA	snā	snA	parse	2P,4P,4Ā	Y	ud							prefix+root	ud+snA	ut-√ snA ¦ (ud-√ snA) P. -snAti and -snAyati, to step out from the water, emerge, come out, ŚBr.; TBr.
32045	utspṛś	utspfS	spṛś	spfS	parse	6P	Y	ud							prefix+root	ud+spfS	ut-√ spfS ¦ (ud-√ spfS) P. (impf. 3. pl. -aspfSan) to reach upwards, AV. v, 19, 1.
32046	utsmi	utsmi	smi	smi	parse	1Ā	Y	ud							prefix+root	ud+smi	ut-√ smi ¦ (ud-√ smi) P. -smayati, to begin smiling, smile at; to deride, MBh.; BhP.
32071	udaja	udaja	aj	aj	fr-root	1P	Y								root-attribution		1. uda—ja ¦ mfn. (1. udaja; for 2. See ud-√ aj) produced in or by water, aquatic, watery
32144	udaka	udaka	dā	dA	fr-root	3Ā,1Ā	Y								root-attribution		¦ (udakaM √ dA or pra-√ dA or √ 1. kf, to offer water to the dead [with gen. or dat.] Yājñ.; Mn.; R. &c.; cf. upa-√ spfS
32255	udaj	udaj	aj	aj	parse	1P	Y	ud							prefix+root	ud+aj	ud-√ aj ¦ P. Ā. -ajati, -te (impf. -A/jat, RV. ii, 12, 3, &c., and u/d-Ajat, RV. ii, 24, 3) to drive out, expel, RV.; Bṛ
32260	udañc	udaYc	añc	aYc	parse	1P,1Ā,10P,10Ā	Y	ud							prefix+root	ud+aYc	1. ud-√ aYc ¦ P. -acati [Ved.] and -aYcati, to elevate, raise up, lift up, throw up, RV. v, 83, 8; VS.; ŚBr. &c.; to lad
32321	udañj	udaYj	añj	aYj	parse	7P,7Ā	Y	ud							prefix+root	ud+aYj	ud-√ aYj ¦ P. -anakti, to adorn, trim, RV. iv, 6, 3.
32327	udan	udan	an	an	parse	2P	Y	ud an							compound	ud+an	2. ud-√ an ¦ (for 1. See p. 183, col. 3) P. -aniti (and Aniti, BṛĀrUp. iii, 4, 1; cf. vy-√ an; p. -ana/t, ŚBr.; aor. 3.
32348	udapās	udapAs	as	as	parse	2P,2Ā	Y	ud apa							prefix+root	ud+apa+as	ud-apAs ¦ (ud-apa- √ 2. as) P. to throw away, give up entirely, BhP. x, 14, 3.
32349	udabhī	udaBI	i	i	parse	2P,2Ā	Y	ud abhi							prefix+root	ud+aBi+i	ud-aBI ¦ (ud-aBi-√ i) P. (2. sg. -ezi) to rise over (acc.), RV. viii, 93, 1.
32398	udarc	udarc	arc	arc	parse	1P,1Ā	Y	ud							prefix+root	ud+arc	ud-√ arc ¦ P. (pf. 3. pl. -Anfcu/s) to drive out, cause to come out, AV. xii, 1, 39.
32413	udard	udard	ard	ard	parse	6P,1P,7	Y	ud							prefix+root	ud+ard	ud-√ ard ¦ P. -ardati, to swell, rise; to undulate, wave, ŚBr. v, 3, 4, 5; 6.
32420	udavaso	udavaso	so	so	parse	4P	Y	ud ava							prefix+root	ud+ava+so	ud-ava-√ so ¦ P. -a/va-syati, to leave off, go away; to finish, end, AV. ix, 6, 54; AitBr.; ŚBr.; to go away to (another
32428	udaś	udaS	aś	aS	parse	0Ā,0P	Y	ud							prefix+root	ud+aS	ud-√ 1. aS ¦ P. -aSnoti, (Subj. -aSnavat, RV. v, 59, 4; pf. -AnaMSa, RV. viii, 24, 12; aor. -A/naw and -Anaw, &c.) Ā. (3
32433	udas	udas	as	as	parse	2P,2Ā	Y	ud							prefix+root	ud+as	ud-√ 2. as ¦ P. -asyati, to cast or throw up; to raise, erect, elevate, ŚBr.; MBh.; to throw out, expel, ŚBr. ii, 6, 2,
32442	udākṛ	udAkf	kṛ	kf	parse	2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā	Y	ud ā							prefix+root	ud+A+kf	ud-A-√ 1. kf ¦ P. Ā. -karoti, -kurute, (impf. -A/kar, RV. x, 67, 4) to expel, drive out; to fetch out of RV.; ŚBr.; TS.;
32443	udākhyā	udAKyA	khyā	KyA	parse	2P,2Ā	Y	ud ā							prefix+root	ud+A+KyA	ud-A-√ KyA ¦
32445	udāgā	udAgA	gā	gA	parse	3P,3Ā,2P,2Ā	Y	ud ā							prefix+root	ud+A+gA	ud-A-√ 1. gA ¦ P. (aor. 1. sg. -A/gAm) to come up or out towards (with acc.), AV. xiv, 2, 44.
32446	udācakṣ	udAcakz	cakṣ	cakz	parse	2Ā,2P	Y	ud ā							prefix+root	ud+A+cakz	ud-A-√ cakz ¦ Ā. -Acazwe, to declare or say aloud, ŚBr. iii, 3, 3, 4.
32447	udācar	udAcar	car	car	parse	1Ā,1P	Y	ud ā							prefix+root	ud+A+car	ud-A-√ car ¦ P. (impf. -A/carat) to rise out of (the ocean), RV. vii, 55, 7.
32448	udāj	udAj	aj	aj	fr-root	1P	Y								root-attribution		udAj ¦ (udA + √ aj), to drive towards (dat.), Hir.
32449	udāja	udAja	aj	aj	fr-root	1P	Y								root-attribution		ud-Aja ¦ See ud-√ aj.
32450	udājan	udAjan	jan	jan	parse	1,10Ā,10P,3Ā,10,4,2Ā,1Ā	Y	ud ā							prefix+root	ud+A+jan	ud-A-√ jan ¦ Ā. (aor. -a/janizwa) to arise from, RV. v, 31, 3.
32451	udātan	udAtan	tan	tan	parse	1,10	Y	ud ā							prefix+root	ud+A+tan	ud-A-√ tan ¦ P. -tanoti, to spread, extend, TāṇḍyaBr. xx, 14.
32452	udādā	udAdA	dā	dA	parse	3Ā,1Ā	Y	ud ā							prefix+root	ud+A+dA	ud-A-√ 1. dA ¦ P. to lift up, elevate.
32478	udādru	udAdru	dru	dru	parse	5P	Y	ud ā							prefix+root	ud+A+dru	ud-A-√ 2. dru ¦ P. -dravati, to run out, run upwards, ŚBr.; TBr.
32479	udāna	udAna	an	an	fr-root	2P	Y								root-attribution		ud-Ana ¦ See 2. ud-√ an.
32480	udānī	udAnI	nī	nI	parse	1P,1Ā	Y	ud ā							prefix+root	ud+A+nI	ud-A-√ nI ¦ P. -nayati, to lead up or out of (water), ŚBr.; Lāṭy. : Ā. -nayate, to raise, elevate, Bhaṭṭ. viii, 21.
32481	udāp	udAp	āp	Ap	parse	5P,5Ā	Y	ud							prefix+root	ud+Ap	ud-√ Ap ¦ P. (pf. 3. pl. -Apus) to reach up to, reach, attain, ŚBr.
32485	udāplu	udAplu	plu	plu	parse	1Ā,1P	Y	ud ā							prefix+root	ud+A+plu	ud-A-√ plu ¦
32488	udāyam	udAyam	yam	yam	parse	1P,1Ā	Y	ud ā							prefix+root	ud+A+yam	ud-A-√ yam ¦ P. (Impv. -A/yacCatu) to bring out, fetch out, get fetch out, get off, AV. v, 30, 15 : Ā. (aor. 3. sg. -Aya
32490	udāyā	udAyA	yā	yA	parse	2P	Y	ud ā							prefix+root	ud+A+yA	ud-A-√ yA ¦ P. -yAti, to go up to, Kauś. 17.
32493	udāyu	udAyu	yu	yu	parse	3P,3Ā	Y	ud ā							prefix+root	ud+A+yu	ud-A-√ 2. yu ¦ P. -yOti, to stir up, whirl, Kauś.; Gobh.
32535	udāruh	udAruh	ruh	ruh	parse	1P	Y	ud ā							prefix+root	ud+A+ruh	ud-A-√ ruh ¦ P. (aor. 1. sg. -A/ruham, VS. xvii, 67; 3. pl. -A/ruhan, AV. xviii, 1, 61) to rise up to.
32537	udāvas	udAvas	vas	vas	parse	6P	Y	ud ā							prefix+root	ud+A+vas	ud-A-√ 5. vas ¦ P. -vasati, to remove or migrate out to, MBh. : Caus. -vAsayati, to cause to remove out, turn out, BhP.
32539	udāvah	udAvah	vah	vah	parse	1P,1Ā	Y	ud ā							prefix+root	ud+A+vah	ud-A-√ vah ¦ P. -vahati, to lead away, carry or draw away, ŚBr.; MBh.; to marry, MBh.; R.; to extol, praise, W.
32540	udāvṛt	udAvft	vṛt	vft	parse	1Ā	Y	ud ā							prefix+root	ud+A+vft	ud-A-√ vft ¦ Caus. -vartayati, to cause to go out, excrete, Suśr.; to secrete; to retain (see the next).
32546	udāvraj	udAvraj	vraj	vraj	parse	1P,10P	Y	ud ā							prefix+root	ud+A+vraj	ud-A-√ vraj ¦ P. -vrajati, to go or move onwards, go forwards, Kauś.
32547	udāśaṃs	udASaMs	śaṃs	SaMs	parse	1P,1Ā	Y	ud ā							prefix+root	ud+A+SaMs	ud-A-√ SaMs ¦ Ā. -SaMsate, to wish for, ŚBr. v, 2, 3, 5;  xi, 1, 4, 2.
32548	udās	udAs	ās	As	parse	2Ā	Y	ud							prefix+root	ud+As	ud-√ As ¦ Ā. -Aste, to sit separate or away from, sit on one side or apart; to abstain from participating in; to take no
32563	udāsthā	udAsTA	sthā	sTA	parse	1P,1Ā	Y	ud ā							prefix+root	ud+A+sTA	ud-A-√ sTA ¦ P. (aor. 1. pl. -asTAma, AV. iii, 31, 11) to rise again.
32569	udāhan	udAhan	han	han	parse	2P,2Ā,1	Y	ud ā							prefix+root	ud+A+han	ud-A-√ han ¦ P. (impf. 3. pl. -aGnan) to strike at; to cause to sound (the lyre), ŚBr.
32572	udāhṛ	udAhf	hṛ	hf	parse	1P,1Ā	Y	ud ā							prefix+root	ud+A+hf	ud-A-√ hf ¦ P. -A/-harati, to set up, put up, ŚBr. i, 1, 1, 22; to relate, declare, announce; to quote, cite, illustrate
32589	udi	udi	i	i	parse	2P,2Ā	Y	ud							prefix+root	ud+i	ud-√ i ¦ P. -e/ti, -etum (and u/d-etos, Maitr. i, 6, 10) to go up to, proceed or move up, proceed, RV.; AV.; VS.; to ris
32664	udiṅg	udiNg	iṅg	iNg	parse	1P,1Ā	Y	ud							prefix+root	ud+iNg	ud-√ iNg ¦ Caus. -iNgayati, to impart a tremulous motion, vibrate, swing, RV. iv, 57, 4; ŚBr.; to cause (a sound) to vib
32669	udinakṣ	udinakz	inakṣ	inakz	parse		Y	ud							prefix+root	ud+inakz	ud-inakz ¦ (anom. Desid. of √ nakz) P. (p. -i/nakzat) to wish or endeavour to obtain or reach; to strive after, pretend
32670	udīkṣ	udIkz	īkṣ	Ikz	parse	1Ā	Y	ud							prefix+root	ud+Ikz	ud-√ Ikz ¦ Ā. -Ikzate (once P. p. -Ikzat, BhP. xi, 30, 44) to look up to, ŚBr.; R.; to look at, regard, view, behold, ŚB
32679	udīr	udIr	īr	Ir	parse	2Ā,2P	Y	ud							prefix+root	ud+Ir	ud-√ Ir ¦ Ā. -Irte (3. pl. -I/rate, RV.; AV.; Impv. 2. sg. -Irzva, RV. x, 18, 8; AV.; impf. -Erata, RV. vii, 39, 1; p. -
32699	udīṣ	udIz	īṣ	Iz	parse	1Ā,1P	Y	ud							prefix+root	ud+Iz	ud-√ Iz ¦ P. -Izati, to rise, mount, Kāṭh.; MaitrS.
32701	udukṣ	udukz	ukṣ	ukz	parse	1P,1Ā	Y	ud							prefix+root	ud+ukz	ud-√ ukz ¦ P. -ukzati, to sprinkle upwards or outwards, ŚBr.; KātyŚr.; ĀśvŚr.
32703	udubj	udubj	ubj	ubj	parse	6P	Y	ud							prefix+root	ud+ubj	ud-√ ubj ¦ P. -ubjati, to open by bending or breaking, TS. vi, 5, 9, 1; to set up, erect, AV. xi, 1, 7.
32707	udumbhara	udumBara	bhṛ	Bf	fr-root	1P,1Ā,3P,3Ā,2P,2Ā	Y								root-attribution		udumBa/ra ¦ m. (fr. √ Bf with ud), a word coined for the etymological explanation of udumba/ra, ŚBr. vii, 5, 1, 22.
32708	uduṣ	uduz	uṣ	uz	parse	1P,9P	Y	ud							prefix+root	ud+uz	ud-√ uz ¦ P. -ozati, to heat, make red-hot; to torment by heat, AV. xii, 5, 72; ŚBr.; ŚāṅkhŚr.
32716	udūḍha	udUQa	vah	vah	fr-root	1P,1Ā	Y								root-attribution		ud-UQa ¦ See ud-√ vah.
32717	udūh	udUh	ūh	Uh	parse	1P,1Ā	Y	ud							prefix+root	ud+Uh	ud-√ 1. Uh ¦ P. Ā. -Uhati, -te, to push or press upwards, move or bear upwards; to throw or turn out, sweep out, push ou
32720	udṛ	udf	ṛ	f	parse	1,3,5P,5Ā	Y	ud							prefix+root	ud+f	ud-√ f ¦ P. -iyarti (pf. 2. sg. -A/riTA, RV. ii, 9, 3; aor. -Arat, RV. iv, 58, 1) Ā. (aor. -Arta, RV. vii, 35, 7) to sta
32721	udṛc	udfc	arc	arc	fr-root	1P,1Ā	Y								root-attribution		ud-f/c ¦ See ud-√ arc.
32722	udṛṣ	udfz	ṛṣ	fz	parse	1P	Y	ud							prefix+root	ud+fz	ud-√ 2. fz ¦ P. (p. -fza/t) to perforate, pierce, RV. x, 155, 2.
32723	ude	ude	i	i	parse	2P,2Ā	Y	ud ā							prefix+root	ud+A+i	ud-e ¦ (ud-A-√ i) P. -e/ti (Impv. 2. sg. ude/hi, AV. v, 30, 11, &c.) to go up, rise, arise from, come up, move upwards,
32725	udej	udej	ej	ej	parse	1P,1Ā	Y	ud							prefix+root	ud+ej	ud-√ ej ¦ P. -ejati, to move upwards, rise, AV. iv, 4, 2; to shake, tremble: Caus. -ejayati, to cause to tremble, shake,
32730	udgam	udgam	gam	gam	parse	1P,2P,3P,1Ā	Y	ud							prefix+root	ud+gam	ud-√ gam ¦ P. -gacCati (Ved. impf. 1. pl. -aganma) to come forth, appear suddenly, become visible, RV. i, 50, 10; R.; Ra
32754	udgarj	udgarj	garj	garj	parse	1P	Y	ud							prefix+root	ud+garj	ud-√ garj ¦ P. -garjati, to burst out roaring; to cry out loudly, Kathās.
32756	udgal	udgal	gal	gal	parse	1P,1Ā	Y	ud							prefix+root	ud+gal	ud-√ gal ¦ P. -galati, to trickle out, ooze out, issue in drops, BhP.
32758	udgā	udgA	gā	gA	parse	3P,3Ā,2P,2Ā	Y	ud							prefix+root	ud+gA	ud-√ gA ¦ Ved. P. (aor. or impf. -agAt) to rise (as the sun &c.), come up, RV.; AV.; TS.; TBr.; to come forth, begin, Kā
32760	udgāra	udgAra	gṝ	gF	fr-root	9P,9Ā	Y								root-attribution		ud-gAra ¦ &c. See ud-√ gF below.
32761	udgāh	udgAh	gāh	gAh	parse	1Ā,1P	Y	ud							prefix+root	ud+gAh	ud-√ gAh ¦ Ā. (pf. 3. pl. -jigAhIre [irr.] KātyŚr. xiii, 3, 21) to emerge.
32764	udgur	udgur	gur	gur	parse	6,4	Y	ud							prefix+root	ud+gur	ud-√ gur ¦ P. -gurate (p. -gura/mARa, VS. xvi, 46) to raise one's voice in a threatening manner; to raise (a weapon &c.)
32770	udguh	udguh	guh	guh	parse	1P,1Ā	Y	ud							prefix+root	ud+guh	ud-√ guh ¦ P. Ā. -gUhati, -te, to wind through, twist through, ŚBr.; KātyŚr.
32772	udgṛbhāya	udgfBAya	grah	grah	fr-root	9P,9Ā	Y	ud							compound	ud+gfB	ud-gfBAya ¦ See ud-√ grah.
32773	udgṝ	udgF	gṝ	gF	parse	9P,9Ā	Y	ud							prefix+root	ud+gF	ud-√ gF ¦ P. -girati, to eject (from the mouth), spit out, vomit out or up, belch out; to pour out, discharge, spout, MB
32791	udgai	udgE	gai	gE	parse	1P,1Ā,2,3P	Y	ud							prefix+root	ud+gE	ud-√ gE ¦ P. -gAyati (-gAti, ŚāṅkhBr. xvii, 7) to begin to sing; to sing or chant (applied especially to the singing or
32811	udgranth	udgranT						ud							compound	ud+granT	ud-√ granT ¦ P. -graTnAti, or -granTati, to bind up, tie into bundles, tie up, truss, AitBr.; TBr.; ĀśvŚr. &c.; to faste
32821	udgrah	udgrah	grah	grah	parse	9P,9Ā	Y	ud							prefix+root	ud+grah	ud-√ grah ¦ P. Ā. -gfhRAti (or Ved. -gfBRAti), -RIte (Impv. 2. sg. -gfBAya, RV. v, 83, 10; p. -gfhRa/t, AV. ix, 6, 47) t
32851	udghaṭ	udGaw	ghaṭ	Gaw	parse	1Ā,1P	Y	ud							prefix+root	ud+Gaw	ud-√ Gaw ¦ Caus. -GAwayati, to open, unlock, unfasten, unveil; to peel, shell, MBh.; Kathās.; Mṛcch.; VarBṛS. &c.; to ex
32874	udghaṭṭ	udGaww	ghaṭṭ	Gaww	parse	1Ā,10P	Y	ud							prefix+root	ud+Gaww	ud-√ Gaww ¦ Caus. -Gawwayati and -GAwwayati, to unlock, open, L.; to stir up, Car.
32882	udghuṣ	udGuz	ghuṣ	Guz	parse	1P,1Ā	Y	ud							prefix+root	ud+Guz	ud-√ Guz ¦ P. -Gozati, to sound; to cry out, MBh.; to fill with cries; to proclaim aloud, Sarvad. : Caus. -Gozayati, to
32893	udghṛṣ	udGfz	ghṛṣ	Gfz	parse	1P,1Ā	Y	ud							prefix+root	ud+Gfz	ud-√ Gfz ¦ P. -Garzati, to rub up, rub together, grind, comminute by rubbing; to rub over; to strike at, toll (a bell);
32911	uddam	uddam	dam	dam	parse	4P,9Ā	Y	ud							prefix+root	ud+dam	ud-√ dam ¦ Caus. -damayati, to subdue, overpower, become master of.
32917	uddarśana	uddarSana	dṛś	dfS	fr-root	0P,0Ā	Y								root-attribution		ud-darSana ¦ See ud-√ dfS.
32918	uddal	uddal	dal	dal	parse	1	Y	ud							prefix+root	ud+dal	ud-√ dal ¦ Caus.
32933	uddā	uddA	dā	dA	parse	3Ā,1Ā	Y	ud							prefix+root	ud+dA	1. ud-√ 1. dA ¦
32935	uddā	uddA	dā	dA	parse	3Ā,1Ā	Y	ud							prefix+root	ud+dA	2. ud-√ 3. dA ¦ P.
32962	uddiś	uddiS	diś	diS	parse	3P,6	Y	ud							prefix+root	ud+diS	1. ud-√ diS ¦ P. Ā. -diSati, -te, to show or direct towards, ŚāṅkhŚr.; TBr.; to point out, signify, declare, determine,
33002	uddih	uddih	dih	dih	parse	2P,2Ā	Y	ud							prefix+root	ud+dih	ud-√ dih ¦ P. -degDi (3. pl. -dihanti) to throw or heap up, TĀr. v, 2, 8.
33005	uddīp	uddIp	dīp	dIp	parse	4Ā	Y	ud							prefix+root	ud+dIp	ud-√ dIp ¦ Ā. -dIpyate, to flame, blaze up, be kindled, AitBr.; ŚBr.; TāṇḍyaBr.; Kauś. : Caus. -dIpayati, to light up, i
33027	udduṣ	udduz	duṣ	duz	parse	4P	Y	ud							prefix+root	ud+duz	ud-√ duz ¦ P. -dUzayati.
33029	uddṛṃh	uddfMh	dṛṃh	dfMh	parse	1P,1Ā,4P,4Ā	Y	ud							prefix+root	ud+dfMh	ud-√ dfMh ¦ P. (Impv. 2. sg. u/d-dfMha) to erect and fortify, VS. xvii, 72.
33030	uddṛś	uddfS	dṛś	dfS	parse	0P,0Ā	Y	ud							prefix+root	ud+dfS	ud-√ dfS ¦ See ut-paS, p. 181, col. 1.
33036	uddṝ	uddF	dṝ	dF	parse	9P,2P,2Ā	Y	ud							prefix+root	ud+dF	ud-√ dF ¦ P.
