L_id	headword	headword_slp1	source	source_slp1	source_class	is_root	source_gloss_de	deriv_marker	context
26631	janya	janya	jana	jana	root	True		von	2. {#ja/nya#}¦ (von {#jana#})  1〉 adj.  a〉 : {#jozi\ brahma\ janya\M jozi^ suzwu\tim#}
26633	janyu	janyu	jan	jan	root	True		von	{#janyu/#}¦ (von {#jan#}) m.  1〉 : {#amftAyA dvitIyo 'yaM janyurhi mama s
26635	japa	japa	jap	jap	root	True		von	{#japa#}¦ (von {#jap#})  1〉 adj. ; s. {#japatA, karRejapa, kujapa#}. —
26636	japatā	japatA	japa	japa	root	True		von	{#japatA#}¦ (von {#japa#}) f. : {#kARqapfzWaSciraM kAlaM tatrEva parivart
26637	japana	japana	jap	jap	root	True		von	{#japana#}¦ (von {#jap#}) n.  AK. 3,3,12, v. l. MBH. 12,7157.
26643	japin	japin	jap	jap	root	True		von	{#japin#}¦ (von {#jap#} oder {#japa#}) adj.  YĀJÑ. 3,286.
26645	japtavya	japtavya	jap	jap	root	True		von	{#japtavya#}¦ (von {#jap#}) adj.  VARĀH. BṚH. S. 45,75. BHĀG. P. 4,24,31.
26649	jabāru	jabAru	java	java	root	True		von	von {#java#}. NIR. 6,17. {#sa\sasya\ carma\nnaDi\ cAru\ pfSne\ragre^ ru\pa Aru^pita\M jab
26651	jabdhar	jabDar	jabh	jaB	root	True		von	{#jabDar#}¦ nom. ag. von {#jaB#} P. 7,1,61, Sch.
26659	jamana	jamana	jam	jam	root	True		von	{#jamana#}¦ (von {#jam#}) n. = {#jemana#} BHAR._zu_AK. 2,9,56. ŚKDR.
26690	jambha	jamBa	jabh	jaB	root	True		von	{#jamBa#}¦ (von 1. {#jaB#}) m. f. ({#A#}) und n. TRIK. 3,5,23.  1〉 m.  a
26695	jambhana	jamBana	jabh	jaB	root	True		von	1. {#ja/mBana#}¦ (von 1. {#jaB#}) adj. f. {#I#} ; subst. : {#sva\jasya^#} AV. 10,4,15. {#
26696	jambhana	jamBana	jabh	jaB	root	True		von	2. {#jamBana#}¦ (von 2. {#jaB#}) n.  VOP. 108,7, v. l.
26705	jambhya	jamBya	jambha	jamBa	root	True		von	{#ja/mBya#}¦ (von {#jamBa#}) m. nach MAHĪDH. , eher wohl : {#daMzwrA^ByAm,
26706	jaya	jaya	ji	ji	root	True		von	{#jaya#}¦ (von {#ji#})  1〉 adj. f. {#A#} am Ende eines comp. ; s. {#kft
26716	jayatsena	jayatsena	ji	ji	root	True		von	({#jayant#}, partic. von {#ji#}, + {#senA#})  1〉 m. N. pr. eines Königs von Magadha MBH. 1
26721	jayadbala	jayadbala	ji	ji	root	True		von	({#jayant#}, partic. von {#ji#}, + {#bala#}) m. ein angenommener Name des jüngsten (?) Pāṇ
26725	jayana	jayana	ji	ji	root	True		von	{#jayana#}¦ (von {#ji#})  1〉 n.  a〉  AK. 3,3,12. H. an. 3,376. MED. n. 67
26761	jayāyya	jayAyya	ji	ji	root	True		von	{#jayAyya#}¦ adj. von {#ji#} VOP. 26,164.
26770	jayitar	jayitar	ji	ji	root	True		von	{#jayitar#}¦ (von {#ji#}) adj. : {#jayitryAH#} — {#pftanAyAH#} MBH. 12,375
26777	jayya	jayya	ji	ji	root	True		von	{#ja/yya#}¦ (von {#ji#}) adj.  P. 6,1,81. VOP. 26,16. AK. 2,8,2,42. H. 79
26846	jal	jal	jala	jala	root	True		von	¦ (denom. von {#jala#}), {#jalati#} : {#jalatyagniH#} ŚATR. 14,81.
26848	jalaka	jalaka	jala	jala	root	True	Wasser	von	{#jalaka#}¦ (von {#jala#} ) n.  WILS.
26877	jalaṃga	jalaMga	jala	jala	root	True	Wasser	von	#}¦ ({#jalam#}, acc. von {#jala#} , + 1. {#ga#}) m.  ({#mahAkAla#}) RĀJAN._im_ŚKDR.
26895	jalatā	jalatA	jala	jala	root	True		von	{#jalatA#}¦ (von {#jala#}) f.  HARIV. 2932.
26915	jaladhigā	jalaDigA	ga	ga	root	True		von	aDigA#}¦ ({#jalaDi#} + {#gA#} von 1. {#ga#}) f.  H. 1080.
26916	jaladhijā	jalaDijA	ja	ja	root	True		von	aDijA#}¦ ({#jalaDi#} + {#jA#} von {#ja#}) f. , Bein. der Lakṣmī TRIK. 1,1,41.
26923	jalaṃdhama	jalaMDama	jala	jala	root	True		von	#}¦ ({#jalam#}, acc. von {#jala#}, + {#Dama#})  1〉 m. N. pr. eines Wesens im Gefolge von S
26935	jalapṛṣṭhajā	jalapfzWajA	ja	ja	root	True		von	}¦ ({#jala — pfzWa#} + {#jA#} von {#ja#}) f. Blyxa octandra Rich. ({#SEvAla#}) ŚABDAC._im_
26956	jalamaya	jalamaya	jala	jala	root	True		von	{#jalamaya#}¦ (von {#jala#}) adj. f. {#I#}  KUMĀRAS. 2,60. KATHĀS. 2,10. SĀ
26984	jalavant	jalavant	jala	jala	root	True		von	{#jalavant#}¦ (von {#jala#}) adj. : {#jalavAMstfRavAnmArgaH samo gamyaH pra
27016	jalasāt	jalasAt	jala	jala	root	True		von	{#jalasAt#}¦ (von {#jala#}) adv.  (z. B. werden): {#kftsnaM lavaRaM jalasA
27048	jalāy	jalAy	jala	jala	root	True		von	{#jalAy#}¦ (von {#jala#}), {#jalAyate#} : {#vahnistasya jalAyate#} BHART
27049	jalāyukā	jalAyukA	jala	jala	root	True		von	. {#UrRAyu, jawAyu#}). — Vgl. {#tfRa˚#}.
27070	jalecara	jalecara	jala	jala	root	True		von	a#}¦ ({#jale#}, loc. von {#jala#}, + {#cara#}) adj. f. {#I#} : {#pakzin#} MBH. 3,17322. R.
27072	jalejāta	jalejAta	jala	jala	root	True		von	a#}¦ ({#jale#}, loc. von {#jala#}, + {#jAta#}) n. , Nelumbium ŚABDAR._im_ŚKDR.
27076	jaleyu	jaleyu	jala	jala	root	True		von	{#jaleyu#}¦ (von {#jala#}) m. N. pr. eines Sohnes des Raudrāśva MBH. 1,37
27077	jaleruha	jaleruha	jala	jala	root	True		von	a#}¦ ({#jale#}, loc. von {#jala#}, + {#ruha#})  1〉 m. N. pr. eines Königs von Orissa WASSI
27079	jalevāha	jalevAha	jala	jala	root	True		von	a#}¦ ({#jale#}, loc. von {#jala#}, + {#vAha#}) m. : {#jalevAhAnaTAhUya bahUMstatra nyayoja
27081	jaleśaya	jaleSaya	jala	jala	root	True		von	a#}¦ ({#jale#}, loc. von {#jala#}, + {#Saya#})  1〉 adj.  SUŚR. 1,200,4. {#kUrmo 'pyantarja
27097	jalpa	jalpa	jalp	jalp	root	True		von	{#jalpa/#}¦ (von {#jalp#}) m. gaṇa {#uYCAdi#} zu P. 6,1,160. : {#janasya#
27107	java	java	jū	jU	root	True		von	{#java#}¦ (von {#jU#})  1〉 m. oxyt. ved., parox. klass. P. 3,3,57. 56,
27113	javavant	javavant	java	java	root	True		von	{#javavant#}¦ (von {#java#}) adj.  ŚAṂK._zu_ĪŚOP. 4.
27114	javas	javas	jū	jU	root	True		von	{#ja/vas#}¦ (von {#jU#}) n. : {#Sye\nasya^#} ṚV. 1,118,11. 4,27,1. 5,78,4
27121	javin	javin	jū	jU	root	True		von	{#javi/n#}¦ (von {#jU#} oder {#java#})  1〉 adj.  H. 494. {#a\ja\vaso^ ja\
27129	jasu	jasu	jas	jas	root	True		von	{#ja/su#}¦ (von {#jas#}) f. : {#ni bA^Date\ ama^tirna\gnatA\ jasu^H#} ṚV
27134	jahaka	jahaka	hā	hA	root	True		von	{#ja/haka#}¦ (von {#hA#}) Uṇ. 2,35.  1〉 adj.  Uṇ., Sch. — 2〉 m.  a〉  ebend
27135	jahatsvārthā	jahatsvArTA	hā	hA	root	True		von	({#jahat#}, partic. von {#hA#}, + {#svArTa#}) f. (sc. {#lakzaRA#}) , d. i.  SĀH. D. 12,18
27138	jahijoḍa	jahijoqa	han	han	root	True		von	2. imperat. von {#han#}, + {#joqa#}) adj.  (?) gaṇa {#mayUravyaMsakAdi#} zu P. 2,1,72.
27148	jā	jA	jan	jan	root	True		von	1. {#jA#}¦ (von {#jan#})  1〉 adj. am Ende eines comp., die ältere Form für das spät
27199	jāḍāyana	jAqAyana	jaḍa	jaqa	root	True		von	jA/qAyana#}¦ patron. von {#jaqa#} gaṇa {#aSvAdi#} zu P. 4,1,110.
